ClientID,Recency,Frequency,Monetary_Q,Monetary_A
client34966,1,14,100,22468
client23397,200,6,32,3202
client42503,56,36,350,64678
client23901,778,3,97,40019
client27157,60,6,40,3260
client375,225,2,25,15781
client12429,204,11,44,5125
client23176,31,2,5,6145
client11064,782,1,5,319
client26041,110,3,41,9378
client7168,146,12,57,8801
client18133,782,1,6,1342
client25242,201,6,30,5361
client35087,782,1,6,2908
client42080,782,1,20,4376
client10775,766,2,3,2237
client2764,517,2,4,6236
client9409,356,2,28,1882
client4331,507,2,30,4653
client17552,20,32,119,32058
client4017,409,3,26,3911
client3479,782,1,7,1183
client41758,312,4,4,3607
client1437,44,3,4,4127
client474,214,5,11,2773
client19911,5,10,17,38212
client42375,381,3,16,2762
client24961,201,2,29,7038
client32672,5,33,160,39853
client39125,782,1,19,2915
client16169,27,9,88,30481
client29406,96,9,73,7557
client37194,28,11,101,24903
client13029,645,2,27,12409
client35237,73,10,46,15339
client32234,14,55,223,60345
client33089,456,2,4,574
client38725,364,2,6,10560
client26225,782,1,10,1730
client5529,137,36,343,63306
client244,35,10,115,15794
client10890,11,19,179,40955
client27111,781,1,6,1408
client21272,781,1,6,854
client4543,781,1,2,1928
client15397,224,19,141,34004
client11941,781,1,2,448
client41791,781,1,3,8247
client925,781,1,4,276
client5729,46,11,83,9620
client28122,109,12,272,6976
client8773,649,2,16,1826
client24886,60,17,95,21485
client37554,223,13,99,32480
client16955,60,22,160,47356
client41328,143,26,220,34799
client12619,781,1,42,11709
client9010,781,1,9,5935
client30722,781,1,31,12833
client41452,781,1,17,877
client15888,781,1,2,91
client19654,7,18,143,32088
client36619,180,10,39,7021
client19123,47,6,41,17215
client9455,781,1,48,768
client4842,51,21,118,29360
client15962,28,5,38,6749
client17035,419,2,13,2121
client40193,781,1,3,943
client41549,26,17,230,114202
client3754,781,1,17,1399
client2088,34,33,211,42210
client20131,692,2,7,4692
client3195,781,1,11,7069
client22918,605,6,22,6450
client4866,102,17,54,13013
client17089,19,9,109,47852
client42535,79,8,86,16112
client22151,88,9,53,37117
client26863,24,29,168,26654
client32094,172,5,17,8051
client12605,40,16,36,16623
client18309,322,2,10,9526
client14039,33,20,218,68499
client22096,218,15,93,7180
client35183,763,3,53,4847
client31524,132,6,40,3127
client22508,483,8,80,22254
client40421,117,5,12,3349
client42276,97,11,61,13349
client39450,50,3,6,4280
client5346,780,2,39,4291
client1699,49,11,94,18602
client14866,151,13,109,19429
client28832,5,8,57,14982
client25742,144,15,69,19172
client19869,781,1,32,10046
client3315,781,1,3,2697
client31391,24,4,38,20872
client18568,72,5,111,33777
client26789,755,2,4,1192
client38955,221,5,12,27725
client18064,259,8,169,19946
client33301,756,8,129,12922
client29517,733,3,36,17648
client16146,78,3,19,3297
client41140,182,12,132,20614
client38587,25,22,195,44362
client17544,778,2,19,3425
client9079,109,26,200,41874
client30342,70,23,159,34561
client33040,46,8,52,8888
client23711,158,7,128,22228
client25568,82,13,107,38066
client8454,505,2,15,5706
client35026,20,8,46,4111
client17624,26,18,173,17111
client14729,780,1,1,1499
client11989,755,2,9,1831
client36522,451,5,56,35773
client36913,780,1,1,1129
client35058,780,1,38,1286
client32907,183,6,24,16295
client13979,37,13,293,14644
client8667,106,11,43,3857
client17620,614,7,43,20221
client20044,390,4,23,4167
client22893,780,1,2,1048
client1434,143,17,96,35260
client22523,42,12,125,24805
client17480,649,8,78,15971
client27675,780,1,7,579
client34635,61,37,377,30364
client30984,780,1,7,3061
client4327,766,2,6,4384
client32264,54,79,770,119355
client31565,389,5,16,7373
client39820,16,12,23,5982
client12856,507,3,49,33420
client20282,78,2,10,1110
client8756,780,1,1,125
client25700,71,36,124,35147
client19299,348,9,77,14342
client42572,617,6,71,19940
client13938,145,2,7,2973
client40229,597,4,36,6439
client12221,780,1,3,21388
client17967,22,10,174,96704
client35548,747,2,8,2619
client255,150,3,71,14671
client23259,23,13,137,13669
client10477,35,4,57,29874
client17044,730,4,16,2224
client5514,76,11,75,23580
client19570,52,2,46,26500
client22128,8,6,20,12869
client38254,380,4,29,7680
client2549,313,9,39,19568
client28603,210,8,86,16975
client1044,555,2,7,2128
client35987,27,14,82,34252
client7368,399,5,71,32676
client26345,216,8,81,26392
client26146,754,4,57,22046
client3076,779,1,1,4999
client3931,356,19,109,26320
client1189,20,26,79,21073
client27320,80,8,21,2416
client28728,224,3,9,4154
client3140,323,3,15,9395
client31486,89,7,40,14089
client634,125,18,67,22793
client34786,141,4,19,4931
client32497,135,16,49,13104
client31996,312,16,134,27038
client23371,779,1,6,5332
client39332,95,31,336,47571
client11689,779,1,1,1999
client40461,50,9,31,8290
client3671,276,3,9,13068
client37775,15,13,46,6903
client31269,53,9,55,8231
client36400,2,33,189,30327
client42514,779,1,3,1047
client1038,89,15,55,10447
client9690,125,23,123,24850
client38427,189,13,78,52053
client18163,779,1,1,159
client35260,366,5,146,36778
client41591,75,4,13,2999
client4379,146,30,160,28260
client16251,38,15,98,33339
client30784,21,25,189,21478
client17546,417,8,41,4876
client5093,14,6,32,10223
client12411,4,7,32,11701
client6105,43,26,145,32149
client34707,353,5,27,4195
client10031,80,23,97,26596
client41295,779,1,1,79
client40681,17,55,360,44312
client21070,78,20,267,43136
client1952,10,10,66,5822
client33848,5,56,517,105680
client963,101,16,103,25834
client16159,222,4,25,2058
client15789,427,11,60,46791
client41062,728,2,32,19910
client35369,657,5,104,27969
client28070,42,15,191,23147
client13021,4,21,235,155545
client37572,779,1,8,1954
client26199,775,2,16,16485
client21963,5,12,33,4674
client15521,169,16,95,35693
client32174,760,3,22,44776
client28344,3,44,447,74773
client36806,779,1,24,4548
client21270,779,1,26,3186
client23910,12,13,50,5899
client29058,18,11,102,6634
client6804,21,3,34,3446
client15009,10,17,104,27101
client5605,187,9,55,13814
client578,778,1,12,13858
client24539,778,1,12,6130
client20010,29,16,128,29718
client7682,773,2,30,10601
client8511,778,1,10,1622
client10579,6,19,170,59503
client11269,9,42,349,47923
client30709,296,6,50,4637
client6521,148,14,59,7835
client19602,66,27,180,46587
client6539,155,4,5,16491
client8177,138,2,11,9102
client15852,28,15,105,23886
client20393,16,3,9,8061
client32167,19,16,56,25659
client7979,123,13,86,29862
client25900,260,4,22,3638
client37788,755,2,24,1066
client609,505,2,9,2041
client22319,521,4,94,17010
client7922,246,8,14,2429
client5768,778,1,2,1118
client41461,177,5,49,19104
client35646,39,2,8,353
client37968,585,4,17,2049
client29909,53,5,32,13176
client24005,26,6,39,8625
client4305,153,5,70,25295
client35377,53,6,94,17852
client39776,778,1,8,5642
client5358,125,2,12,1684
client19690,1,40,206,20147
client40031,775,2,22,810
client26954,778,1,16,2220
client541,372,8,99,29445
client15366,7,22,105,18304
client12068,89,4,21,5297
client2819,716,6,91,27738
client42566,769,2,11,27360
client22044,143,7,84,16191
client3139,425,36,537,161632
client25583,226,7,116,16465
client35136,709,3,29,7275
client41113,312,9,75,27236
client16529,162,8,68,15792
client25351,778,1,22,10084
client41619,147,2,23,3164
client34633,353,3,14,6558
client31002,131,12,278,70728
client33727,778,1,18,2492
client14875,778,1,8,3192
client8198,698,10,55,8778
client41559,778,1,16,20970
client31537,27,25,64,13730
client17691,27,12,43,7216
client40306,777,1,3,983
client4410,56,35,363,69677
client5231,777,1,1,999
client29205,4,10,60,4711
client17303,146,4,9,4557
client15832,377,5,62,1947
client10389,11,16,197,38536
client40121,8,78,386,106548
client13471,777,1,4,2976
client13313,777,1,5,4191
